,plot,id,species,height_cm,date
246,2460,NA,SAAP,56.6,3/9/2023
247,2460,34,ARCA,49.8,3/9/2023
248,2460,37,MALA,56.1,3/9/2023
249,2460,NA,SALE,65.6,3/9/2023
250,2460,NA,ENCA,62,3/9/2023
251,2460,NA,ARCA,41.2,3/9/2023
252,2460,NA,ENCA,82.8,3/9/2023
253,2460,NA,ERFA,61.4,3/9/2023
254,2460,25,SAME,100.3,3/9/2023
255,2460,17,ENCA,76.8,3/9/2023
256,2460,NA,SALE,70.6,3/9/2023
257,2460,14,SAME,84.2,3/9/2023
258,2460,NA,ARCA,66.5,3/9/2023
259,2460,NA,ERFA,32.7,3/9/2023
260,2460,1,SAAP,50.7,3/9/2023
261,2460,2,ERFA,55.1,3/9/2023
262,2460,4,ARCA,39.7,3/9/2023
263,2460,NA,SAAP,47.5,3/9/2023
264,2460,8,SALE,69.5,3/9/2023
265,2460,NA,ENCA,101.3,3/9/2023
266,2460,NA,SAAP,15.3,3/9/2023
267,2461,71,ENCA,30.6,3/9/2023
268,2461,75,ENCA,11,3/9/2023
269,2461,72,SAAP,15.3,3/9/2023
270,2461,NA,ARCA,29.1,3/9/2023
271,2461,68,SAAP,15.1,3/9/2023
272,2461,NA,ENCA,44.3,3/9/2023
273,2461,54,ARCA,45.4,3/9/2023
274,2461,52,ENCA,31.8,3/9/2023
275,2461,48,SALE,36.9,3/9/2023
276,2461,NA,ARCA,29.2,3/9/2023
277,2461,NA,ARCA,67,3/9/2023
278,2461,30,SAAP,38.7,3/9/2023
279,2461,31,SAME,28.7,3/9/2023
280,2461,36,ARCA,49.3,3/9/2023
281,2461,40,ARCA,55.1,3/9/2023
282,2461,12,SAAP,35.1,3/9/2023
283,2461,28,ARCA,46.2,3/9/2023
284,2461,2,ARCA,51.3,3/9/2023
285,2461,7,ENCA,66.2,3/9/2023
286,2461,NA,ARCA,74.2,3/9/2023
287,2461,NA,ENCA,64,3/9/2023
288,2461,NA,SAAP,28.9,3/9/2023
289,2461,5,SALE,55.2,3/9/2023
290,2461,NA,SAAP,30.8,3/9/2023
291,2461,14,SALE,39,3/9/2023
292,2461,12,SAME,29.4,3/9/2023
293,2461,19,ENCA,89.4,3/9/2023
294,2461,17,ARCA,35.6,3/9/2023
295,2461,NA,SALE,41.6,3/9/2023
296,2461,8,ENCA,87.6,3/9/2023
297,2458,55,RHOV,8.4,3/9/2023
298,2458,69,CEOL,28.5,3/9/2023
299,2458,NA,RHOV,35.5,3/9/2023
300,2458,NA,ADFA,28.6,3/9/2023
301,2458,38,MALA,35.2,3/9/2023
302,2458,36,HEAR,19.7,3/9/2023
303,2458,12,RHOV,25.4,3/9/2023
304,2458,14,RHIL,6.2,3/9/2023
305,2458,19,RHOV,10.8,3/9/2023
306,2403,1,SALE,30.2,5/17/2023
307,2403,2,ARCA,52.5,5/17/2023
308,2403,3,ENCA,69.3,5/17/2023
309,2403,4,ENCA,55.2,5/17/2023
