Plot,ID,Species,Height,Date,Resprout,Row #,Notes,,
2460,76,ENCA,62.3,3/9/2023,,,,,
2460,66,SAAP,39.1,3/9/2023,,Row 2,,,
2460,n/a,SAAP,49.8,3/9/2023,,,,,
2460,n/a,SALE,50.2,3/9/2023,,,,,
2460,61,RHOV,20.4,3/9/2023,,,,,
2460,n/a,SAME,67.5,3/9/2023,,Row 3,,,
2460,n/a,SAAP,50.7,3/9/2023,,,,,
2460,58,SALE,56.1,3/9/2023,,,,,
2460,57,ENCA,77.8,3/9/2023,,,,,
2460,56,ARCA,41.6,3/9/2023,,,,,
2460,44,SALE,66.8,3/9/2023,,Row 4,,,
2460,41,ENCA,78.5,3/9/2023,,,,,
2460,47,SALE,89.6,3/9/2023,,,,,
2460,59,RHOV,25.9,3/9/2023,,,with ENCA seedlings,,
2460,n/a,ARCA,32.1,3/9/2023,,,,,
2460,n/a,SAME,102.4,3/9/2023,,Row 5,,,
2460,n/a,ARCA,44.1,3/9/2023,,,,,
2460,49,ENCA,80.2,3/9/2023,,,with ENCA seedlings,,
2460,n/a,ARCA,40.3,3/9/2023,,,,,
2460,41,SALE,60.2,3/9/2023,,Row 6,,,
2460,n/a,SAAP,56.6,3/9/2023,,,,,
2460,34,ARCA,49.8,3/9/2023,,,,,
2460,37,MALA,56.1,3/9/2023,,,,,
2460,n/a,SALE,65.6,3/9/2023,,,,,
2460,29?,ENCA,62,3/9/2023,,,,,
2460,n/a,ARCA,41.2,3/9/2023,,Row 7,,,
2460,n/a,ENCA,82.8,3/9/2023,,,,,
2460,22?,ERFA,61.4,3/9/2023,,,,,
2460,25,SAME,100.3,3/9/2023,,,,,
2460,17,ENCA,76.8,3/9/2023,,Row 8,,,
2460,n/a,SALE,70.6,3/9/2023,,,,,
2460,14,SAME,84.2,3/9/2023,,,,,
2460,7?,ARCA,66.5,3/9/2023,,,,,
2460,n/a,ERFA,32.7,3/9/2023,,,,,
2460,1,SAAP,50.7,3/9/2023,,Row 9,,,
2460,2,ERFA,55.1,3/9/2023,,,,,
2460,4,ARCA,39.7,3/9/2023,,,,,
2460,n/a,SAAP,47.5,3/9/2023,,,,,
2460,8,SALE,69.5,3/9/2023,,,,,
2460,n/a,ENCA,101.3,3/9/2023,,,,,
2460,n/a,SAAP,15.3,3/9/2023,,,,,
2461,71,ENCA,30.6,3/9/2023,,Row 1,,,
2461,75,ENCA,11,3/9/2023,,,,,
2461,72,SAAP,15.3,3/9/2023,,Row 2,,,
